stop_id	stop_name	stop_lon	stop_lat
8587349	Zürich, Bahnhofquai/HB	8.541738678	47.37756182
8591368	Zürich, Sihlquai/HB	8.537606428	47.37987333
8591282	Zürich, Museum für Gestaltung	8.534938431	47.38212392
8591257	Zürich, Limmatplatz	8.531623648	47.38459946
8591306	Zürich, Quellenstrasse	8.528749039	47.38674037
8591110	Zürich, Löwenbräu	8.52607206	47.38840073
8580522	Zürich, Escher-Wyss-Platz	8.52239795	47.39079692
8591135	Zürich, Förrlibuckstrasse	8.517151789	47.3922139
8591131	Zürich, Fischerweg	8.512121223	47.39357003
8591074	Zürich, Bernoulli-Häuser	8.508707625	47.39376462
8591178	Zürich, Hardturm	8.50450351	47.39416598
8591176	Zürich, Hardhof	8.497469701	47.39634907
8591402	Zürich, Tüffenwies	8.494720856	47.397924
8591167	Zürich, Grünaustrasse	8.489214183	47.39523017
8591068	Zürich, Bändliweg	8.485010068	47.39635515
8591428	Zürich, Werdhölzli	8.482018678	47.39783279
8591437	Zürich, Wipkingerplatz	8.523574743	47.39259094
8591417	Zürich, Waidfussweg	8.518400447	47.39549774
8591121	Zürich, Eschergutweg	8.512040375	47.39627002
8591039	Zürich, Alte Trotte	8.507656596	47.39759564
8591353	Zürich, Schwert	8.504611307	47.39972994
8576240	Zürich, Meierhofplatz	8.499374129	47.40201009
8591446	Zürich, Zwielplatz	8.496804948	47.40218641
8591423	Zürich, Wartau	8.491621668	47.40277011
8591435	Zürich, Winzerstrasse	8.486375507	47.40376725
8591136	Zürich, Frankental	8.481632402	47.40546963
8591379	Zürich, Stampfenbachplatz	8.542771741	47.38029304
8591071	Zürich, Beckenhof	8.540445104	47.38408246
8591237	Zürich, Kronenstrasse	8.539124581	47.38795676
8591335	Zürich, Schaffhauserplatz	8.538711356	47.39163008
8591246	Zürich, Laubiweg	8.536339803	47.39499301
8591101	Zürich, Bucheggplatz	8.533285531	47.39841046
8591307	Zürich, Radiostudio	8.535180976	47.40197968
8591053	Zürich, Bad Allenmoos	8.537786091	47.40589522
8591314	Zürich, Regensbergbrücke	8.539277294	47.4088256
8580449	Zürich Oerlikon, Bahnhof	8.54479295	47.41149442
8591382	Zürich, Sternen Oerlikon	8.546230254	47.41007188
8591063	Zürich Oerlikon, Bahnhof Ost	8.545843979	47.41333637
8591127	Zürich, Felsenrainstrasse	8.545296007	47.4167891
8591355	Zürich, Seebacherplatz	8.548368245	47.41986475
8591354	Zürich, Seebach	8.5497786	47.42186443
8591168	Zürich, Guggachstrasse	8.540139677	47.39571057
8591276	Zürich, Milchbuck	8.541774611	47.39779022
8591193	Zürich, Hirschwiesenstrasse	8.543508359	47.40027111
8591073	Zürich, Berninaplatz	8.547910104	47.40363957
8591332	Zürich, Salersteig	8.548476043	47.40608369
8591273	Zürich, Messe/Hallenstadion	8.55009301	47.41095945
8591256	Zürich, Leutschenbach	8.551305736	47.41464333
8591294	Zürich, Oerlikerhus	8.554207294	47.41758538
8591830	Glattpark, Glattpark	8.556767493	47.42038139
8590626	Glattbrugg, Lindberghplatz	8.561070423	47.42560224
8590620	Glattbrugg, Bahnhof	8.559354641	47.43056735
8590762	Rümlang, Bäuler	8.557908353	47.43554414
8573244	Glattbrugg, Unterriet	8.561825008	47.43763437
8587799	Kloten Balsberg, Bahnhof	8.568607288	47.44161409
8573205	Zürich Flughafen, Bahnhof	8.563747403	47.45016187
8588553	Zürich Flughafen, Fracht	8.571733425	47.4521604
8591128	Zürich, Fernsehstudio	8.561744159	47.41817499
8591049	Zürich, Auzelg	8.56884085	47.41709302
8590889	Wallisellen, Herti	8.579072661	47.41649733
8590881	Wallisellen, Belair	8.585235104	47.41395034
8587655	Wallisellen, Bahnhof	8.592529424	47.41272239
8594198	Wallisellen, Glatt	8.598063046	47.40929372
8590578	Wallisellen, Neugut	8.604270405	47.40483125
8590561	Dübendorf, Giessen	8.607657054	47.40214993
8590583	Dübendorf, Ringwiesen	8.604216506	47.39753483
8591065	Stettbach, Bahnhof	8.596131669	47.39727336
8591194	Zürich, Hirzenbach	8.591163985	47.40325044
8587652	Zürich, Altried	8.591002288	47.40562771
8591263	Zürich, Luchswiesen	8.585872908	47.40687406
8591264	Zürich, Luegisland	8.581390315	47.40601074
8591181	Zürich, Heerenwiesen	8.576323817	47.40471573
8591183	Zürich, Helmhaus	8.543292764	47.37007303
8591309	Zürich, Rathaus	8.542879538	47.37174
8591327	Zürich, Rudolf-Brun-Brücke	8.542933437	47.37394835
8591287	Zürich, Neumarkt	8.547353149	47.37277422
8588078	Zürich, Central	8.543939551	47.37684401
8591174	Zürich, Haldenegg	8.544514472	47.37964827
8591373	Zürich, Sonneggstrasse	8.543688022	47.38284166
8591298	Zürich, Ottikerstrasse	8.542412415	47.38518943
